Symbol,EPS Next 5Y,DCF
AAPL,17.93%,3.6573233488360444
ADBE,17.50%,16.27734483186708
BA,12.33%,-108.57836084640617
BYND,-6.90%,
CAT,19.06%,
DIS,51.70%,
DOCU,56.00%,16.492836976386005
ENPH,41.67%,
ETSY,52.80%,
FB,23.70%,
GS,16.80%,-378.50017180552777
HD,10.57%,
JPM,1.28%,
LMT,5.11%,
MCD,20.43%,
MSFT,16.73%,18.616507669924683
NKE,40.60%,
NVAX,0.00%,
NVDA,26.84%,21.04691140734213
PYPL,23.52%,9.17928012586188
QCOM,27.29%,1.1514261328845132
SPOT,,
SPY,,
SQ,56.41%,7.633813701899978
TGT,11.45%,
TQQQ,,
UNP,13.23%,-31.195522205312013
V,18.84%,3.672291860203858
XOM,10.14%,
ZM,15.38%,
